t,phase,min_front,min_left,min_right,speed,yaw,dist_to_wp,bearing_to_wp,rc_throttle_norm,rc_yaw_norm
219.969,pretrain,0.0000,24.3861,7.4557,0.1088,-0.0777,0.000,0.0000,0.000,0.000
220.061,pretrain,0.0000,671.0791,7.4352,0.1088,-0.0777,0.000,0.0000,0.000,0.000
220.161,pretrain,0.0000,24.7569,7.4323,0.1088,-0.0777,0.000,0.0000,0.000,0.000
220.261,pretrain,0.0000,24.2875,7.5057,0.1013,-0.0777,0.000,0.0000,0.000,0.000
220.361,pretrain,0.0000,24.2867,7.4365,0.1013,-0.0777,0.000,0.0000,0.000,0.000
220.461,pretrain,0.0000,24.4522,7.5211,0.1013,-0.0777,0.000,0.0000,0.000,0.000
220.562,pretrain,0.0000,24.3989,7.4541,0.0949,-0.0777,0.000,0.0000,0.000,0.000
220.661,pretrain,0.0000,670.5535,7.4279,0.0949,-0.0777,0.000,0.0000,0.000,0.000
220.761,pretrain,0.0000,24.3106,7.4854,0.0887,-0.0778,0.000,0.0000,0.000,0.000
220.861,pretrain,0.0000,24.3223,7.4280,0.0887,-0.0778,0.000,0.0000,0.000,0.000
220.961,pretrain,0.0000,24.2670,7.5307,0.0887,-0.0778,0.000,0.0000,0.000,0.000
221.061,pretrain,0.0000,24.2515,7.4412,0.0837,-0.0778,0.000,0.0000,0.000,0.000
221.161,pretrain,0.0000,671.8118,7.4265,0.0837,-0.0778,0.000,0.0000,0.000,0.000
221.261,pretrain,0.0000,24.4430,7.4677,0.0792,-0.0778,0.000,0.0000,0.000,0.000
221.361,pretrain,0.0000,24.4490,7.4220,0.0792,-0.0778,0.000,0.0000,0.000,0.000
221.461,pretrain,0.0000,24.1788,7.5081,0.0792,-0.0778,0.000,0.0000,0.000,0.000
221.561,pretrain,0.0000,24.1850,7.4307,0.0754,-0.0779,0.000,0.0000,0.000,0.000
221.661,pretrain,0.0000,24.5295,7.4274,0.0754,-0.0779,0.000,0.0000,0.000,0.000
221.761,pretrain,0.0000,24.4626,7.4526,0.0713,-0.0779,0.000,0.0000,0.000,0.000
221.861,pretrain,0.0000,24.8079,7.4185,0.0713,-0.0779,0.000,0.0000,0.000,0.000
221.961,pretrain,0.0000,24.1883,7.4575,0.0713,-0.0779,0.000,0.0000,0.000,0.000
222.061,pretrain,0.0000,24.1872,7.4227,0.0678,-0.0780,0.000,0.0000,0.000,0.000
222.165,pretrain,0.0000,24.2662,7.4307,0.0678,-0.0780,0.000,0.0000,0.000,0.000
222.261,pretrain,0.0000,24.2527,7.4399,0.0646,-0.0781,0.000,0.0000,0.000,0.000
222.361,pretrain,0.0000,670.8360,7.4173,0.0646,-0.0781,0.000,0.0000,0.000,0.000
222.461,pretrain,0.0000,24.2512,7.4678,0.0622,-0.0781,0.000,0.0000,0.000,0.000
222.563,pretrain,0.0000,24.2614,7.4168,0.0622,-0.0781,0.000,0.0000,0.000,0.000
222.661,pretrain,0.0000,24.1633,7.4362,0.0622,-0.0781,0.000,0.0000,0.000,0.000
222.761,pretrain,0.0000,24.1473,7.4295,0.0593,-0.0782,0.000,0.0000,0.000,0.000
222.861,pretrain,0.0000,24.9590,7.4182,0.0593,-0.0782,0.000,0.0000,0.000,0.000
222.961,pretrain,0.0000,24.4277,7.4554,0.0568,-0.0782,0.000,0.0000,0.000,0.000
223.061,pretrain,0.0000,24.4341,7.4131,0.0568,-0.0782,0.000,0.0000,0.000,0.000
223.161,pretrain,0.0000,24.1098,7.4439,0.0568,-0.0782,0.000,0.0000,0.000,0.000
223.261,pretrain,0.0000,24.1136,7.4212,0.0543,-0.0783,0.000,0.0000,0.000,0.000
223.361,pretrain,0.0000,24.3883,7.4212,0.0543,-0.0783,0.000,0.0000,0.000,0.000
223.461,pretrain,0.0000,24.3292,7.4424,0.0543,-0.0783,0.000,0.0000,0.000,0.000
223.561,pretrain,0.0000,24.9454,7.4115,0.0521,-0.0783,0.000,0.0000,0.000,0.000
223.664,pretrain,0.0000,24.1288,7.4538,0.0521,-0.0783,0.000,0.0000,0.000,0.000
223.761,pretrain,0.0000,24.1450,7.4150,0.0500,-0.0784,0.000,0.0000,0.000,0.000
223.861,pretrain,0.0000,24.1795,7.4262,0.0500,-0.0784,0.000,0.0000,0.000,0.000
223.961,pretrain,0.0000,24.1650,7.4315,0.0500,-0.0784,0.000,0.0000,0.000,0.000
224.061,pretrain,0.0000,671.1248,7.4120,0.0480,-0.0784,0.000,0.0000,0.000,0.000
224.168,pretrain,0.0000,24.5595,7.4099,0.0480,-0.0784,0.000,0.0000,0.000,0.000
224.261,pretrain,0.0000,24.0965,7.4840,0.0462,-0.0785,0.000,0.0000,0.000,0.000
224.361,pretrain,0.0000,24.1025,7.4157,0.0462,-0.0785,0.000,0.0000,0.000,0.000
224.461,pretrain,0.0000,24.2645,7.5009,0.0462,-0.0785,0.000,0.0000,0.000,0.000
224.561,pretrain,0.0000,24.2199,7.4348,0.0448,-0.0785,0.000,0.0000,0.000,0.000
224.665,pretrain,0.0000,670.5900,7.4095,0.0448,-0.0785,0.000,0.0000,0.000,0.000
224.765,pretrain,0.0000,24.1532,7.4674,0.0437,-0.0786,0.000,0.0000,0.000,0.000
224.866,pretrain,0.0000,24.1704,7.4108,0.0437,-0.0786,0.000,0.0000,0.000,0.000
224.962,pretrain,0.0000,24.1159,7.5139,0.0437,-0.0786,0.000,0.0000,0.000,0.000
225.062,pretrain,0.0000,24.1063,7.4252,0.0428,-0.0786,0.000,0.0000,0.000,0.000
225.161,pretrain,0.0000,671.9580,7.4112,0.0428,-0.0786,0.000,0.0000,0.000,0.000
225.261,pretrain,0.0000,24.3125,7.4529,0.0418,-0.0786,0.000,0.0000,0.000,0.000
225.361,pretrain,0.0000,24.3237,7.4078,0.0418,-0.0786,0.000,0.0000,0.000,0.000
225.461,pretrain,0.0000,24.0556,7.4943,0.0407,-0.0786,0.000,0.0000,0.000,0.000
225.561,pretrain,0.0000,24.0662,7.4176,0.0407,-0.0786,0.000,0.0000,0.000,0.000
225.661,pretrain,0.0000,24.4037,7.4147,0.0407,-0.0786,0.000,0.0000,0.000,0.000
225.761,pretrain,0.0000,24.3437,7.4404,0.0390,-0.0787,0.000,0.0000,0.000,0.000
225.863,pretrain,0.0000,24.7040,7.4067,0.0390,-0.0787,0.000,0.0000,0.000,0.000
225.961,pretrain,0.0000,24.0867,7.4461,0.0390,-0.0787,0.000,0.0000,0.000,0.000
226.061,pretrain,0.0000,24.0893,7.4117,0.0376,-0.0787,0.000,0.0000,0.000,0.000
226.161,pretrain,0.0000,24.1672,7.4202,0.0376,-0.0787,0.000,0.0000,0.000,0.000
226.265,pretrain,0.0000,24.1580,7.4298,0.0366,-0.0787,0.000,0.0000,0.000,0.000
226.361,pretrain,0.0000,670.8554,7.4075,0.0366,-0.0787,0.000,0.0000,0.000,0.000
226.461,pretrain,0.0000,24.1670,7.4583,0.0366,-0.0787,0.000,0.0000,0.000,0.000
226.563,pretrain,0.0000,24.1804,7.4077,0.0359,-0.0787,0.000,0.0000,0.000,0.000
226.661,pretrain,0.0000,24.0825,7.4275,0.0359,-0.0787,0.000,0.0000,0.000,0.000
226.763,pretrain,0.0000,24.0698,7.4211,0.0348,-0.0787,0.000,0.0000,0.000,0.000
226.861,pretrain,0.0000,24.8466,7.4100,0.0348,-0.0787,0.000,0.0000,0.000,0.000
226.961,pretrain,0.0000,24.3580,7.4476,0.0348,-0.0787,0.000,0.0000,0.000,0.000
227.061,pretrain,0.0000,24.3670,7.4056,0.0338,-0.0788,0.000,0.0000,0.000,0.000
227.161,pretrain,0.0000,24.0436,7.4366,0.0338,-0.0788,0.000,0.0000,0.000,0.000
227.261,pretrain,0.0000,24.0498,7.4142,0.0331,-0.0788,0.000,0.0000,0.000,0.000
227.361,pretrain,0.0000,24.3214,7.4144,0.0331,-0.0788,0.000,0.0000,0.000,0.000
227.461,pretrain,0.0000,24.2656,7.4359,0.0331,-0.0788,0.000,0.0000,0.000,0.000
227.561,pretrain,0.0000,24.8913,7.4053,0.0330,-0.0788,0.000,0.0000,0.000,0.000
227.661,pretrain,0.0000,24.0742,7.4477,0.0330,-0.0788,0.000,0.0000,0.000,0.000
227.761,pretrain,0.0000,24.0923,7.4091,0.0326,-0.0788,0.000,0.0000,0.000,0.000
227.861,pretrain,0.0000,24.1262,7.4206,0.0326,-0.0788,0.000,0.0000,0.000,0.000
227.961,pretrain,0.0000,24.1139,7.4260,0.0326,-0.0788,0.000,0.0000,0.000,0.000
228.061,pretrain,0.0000,671.1351,7.4067,0.0322,-0.0788,0.000,0.0000,0.000,0.000
228.161,pretrain,0.0000,24.5148,7.4048,0.0322,-0.0788,0.000,0.0000,0.000,0.000
228.261,pretrain,0.0000,24.0522,7.4791,0.0318,-0.0788,0.000,0.0000,0.000,0.000
228.361,pretrain,0.0000,24.0599,7.4111,0.0318,-0.0788,0.000,0.0000,0.000,0.000
228.461,pretrain,0.0000,24.2204,7.4963,0.0318,-0.0788,0.000,0.0000,0.000,0.000
228.561,pretrain,0.0000,24.1779,7.4305,0.0315,-0.0788,0.000,0.0000,0.000,0.000
228.663,pretrain,0.0000,670.5982,7.4053,0.0315,-0.0788,0.000,0.0000,0.000,0.000
228.761,pretrain,0.0000,24.1165,7.4633,0.0309,-0.0788,0.000,0.0000,0.000,0.000
228.863,pretrain,0.0000,24.1352,7.4069,0.0309,-0.0788,0.000,0.0000,0.000,0.000
228.961,pretrain,0.0000,24.0803,7.5101,0.0309,-0.0788,0.000,0.0000,0.000,0.000
229.061,pretrain,0.0000,24.0720,7.4216,0.0303,-0.0788,0.000,0.0000,0.000,0.000
229.161,pretrain,0.0000,671.9923,7.4077,0.0303,-0.0788,0.000,0.0000,0.000,0.000
229.261,pretrain,0.0000,24.2822,7.4495,0.0299,-0.0788,0.000,0.0000,0.000,0.000
229.361,pretrain,0.0000,24.2945,7.4046,0.0299,-0.0788,0.000,0.0000,0.000,0.000
229.461,pretrain,0.0000,24.0266,7.4911,0.0299,-0.0788,0.000,0.0000,0.000,0.000
229.561,pretrain,0.0000,24.0381,7.4145,0.0296,-0.0788,0.000,0.0000,0.000,0.000
229.661,pretrain,0.0000,24.3732,7.4118,0.0296,-0.0788,0.000,0.0000,0.000,0.000
229.761,pretrain,0.0000,24.3149,7.4375,0.0296,-0.0788,0.000,0.0000,0.000,0.000
229.861,pretrain,0.0000,24.6807,7.4040,0.0296,-0.0788,0.000,0.0000,0.000,0.000
229.962,pretrain,0.0000,24.0627,7.4434,0.0296,-0.0788,0.000,0.0000,0.000,0.000
230.061,pretrain,0.0000,24.0662,7.4092,0.0296,-0.0788,0.000,0.0000,0.000,0.000
230.162,pretrain,0.0000,24.1432,7.4177,0.0296,-0.0788,0.000,0.0000,0.000,0.000
230.261,pretrain,0.0000,24.1351,7.4274,0.0296,-0.0788,0.000,0.0000,0.000,0.000
230.361,pretrain,0.0000,670.8600,7.4052,0.0296,-0.0788,0.000,0.0000,0.000,0.000
230.461,pretrain,0.0000,24.1473,7.4561,0.0296,-0.0788,0.000,0.0000,0.000,0.000
230.561,pretrain,0.0000,24.1615,7.4056,0.0296,-0.0788,0.000,0.0000,0.000,0.000
230.661,pretrain,0.0000,24.0631,7.4254,0.0299,-0.0788,0.000,0.0000,0.000,0.000
230.761,pretrain,0.0000,24.0511,7.4191,0.0299,-0.0788,0.000,0.0000,0.000,0.000
230.861,pretrain,0.0000,24.8171,7.4081,0.0299,-0.0788,0.000,0.0000,0.000,0.000
230.972,pretrain,0.0000,24.3420,7.4457,0.0300,-0.0788,0.000,0.0000,0.000,0.000
231.061,pretrain,0.0000,24.3517,7.4038,0.0300,-0.0788,0.000,0.0000,0.000,0.000
231.161,pretrain,0.0000,24.0277,7.4349,0.0297,-0.0788,0.000,0.0000,0.000,0.000
231.261,pretrain,0.0000,24.0346,7.4126,0.0297,-0.0788,0.000,0.0000,0.000,0.000
231.361,pretrain,0.0000,24.3046,7.4128,0.0297,-0.0788,0.000,0.0000,0.000,0.000
231.461,pretrain,0.0000,24.2497,7.4343,0.0295,-0.0788,0.000,0.0000,0.000,0.000
231.561,pretrain,0.0000,24.8822,7.4038,0.0295,-0.0788,0.000,0.0000,0.000,0.000
231.661,pretrain,0.0000,24.0613,7.4463,0.0294,-0.0788,0.000,0.0000,0.000,0.000
231.761,pretrain,0.0000,24.0798,7.4078,0.0294,-0.0788,0.000,0.0000,0.000,0.000
231.861,pretrain,0.0000,24.1129,7.4193,0.0294,-0.0788,0.000,0.0000,0.000,0.000
231.961,pretrain,0.0000,24.1012,7.4247,0.0292,-0.0788,0.000,0.0000,0.000,0.000
232.061,pretrain,0.0000,671.1375,7.4055,0.0292,-0.0788,0.000,0.0000,0.000,0.000
232.161,pretrain,0.0000,24.5055,7.4036,0.0288,-0.0788,0.000,0.0000,0.000,0.000
232.261,pretrain,0.0000,24.0416,7.4779,0.0288,-0.0788,0.000,0.0000,0.000,0.000
232.361,pretrain,0.0000,24.0498,7.4100,0.0288,-0.0788,0.000,0.0000,0.000,0.000
232.461,pretrain,0.0000,24.2090,7.4952,0.0286,-0.0788,0.000,0.0000,0.000,0.000
232.565,pretrain,0.0000,24.1671,7.4294,0.0286,-0.0788,0.000,0.0000,0.000,0.000
232.661,pretrain,0.0000,670.6002,7.4043,0.0285,-0.0788,0.000,0.0000,0.000,0.000
232.761,pretrain,0.0000,24.1082,7.4624,0.0285,-0.0788,0.000,0.0000,0.000,0.000
232.861,pretrain,0.0000,24.1272,7.4060,0.0285,-0.0788,0.000,0.0000,0.000,0.000
232.961,pretrain,0.0000,24.0714,7.5092,0.0282,-0.0788,0.000,0.0000,0.000,0.000
233.061,pretrain,0.0000,24.0635,7.4207,0.0282,-0.0788,0.000,0.0000,0.000,0.000
233.161,pretrain,0.0000,672.0005,7.4068,0.0278,-0.0788,0.000,0.0000,0.000,0.000
233.261,pretrain,0.0000,24.2758,7.4487,0.0278,-0.0788,0.000,0.0000,0.000,0.000
233.361,pretrain,0.0000,24.2885,7.4038,0.0278,-0.0788,0.000,0.0000,0.000,0.000
233.464,pretrain,0.0000,24.0195,7.4904,0.0274,-0.0788,0.000,0.0000,0.000,0.000
233.563,pretrain,0.0000,24.0313,7.4138,0.0274,-0.0788,0.000,0.0000,0.000,0.000
233.661,pretrain,0.0000,24.3644,7.4111,0.0272,-0.0788,0.000,0.0000,0.000,0.000
233.761,pretrain,0.0000,24.3067,7.4369,0.0272,-0.0788,0.000,0.0000,0.000,0.000
233.861,pretrain,0.0000,24.6779,7.4034,0.0272,-0.0788,0.000,0.0000,0.000,0.000
233.961,pretrain,0.0000,24.0571,7.4428,0.0270,-0.0788,0.000,0.0000,0.000,0.000
234.061,pretrain,0.0000,24.0609,7.4086,0.0270,-0.0788,0.000,0.0000,0.000,0.000
234.167,pretrain,0.0000,24.1367,7.4171,0.0267,-0.0788,0.000,0.0000,0.000,0.000
234.261,pretrain,0.0000,24.1289,7.4268,0.0267,-0.0788,0.000,0.0000,0.000,0.000
234.361,pretrain,0.0000,670.8609,7.4047,0.0267,-0.0788,0.000,0.0000,0.000,0.000
234.461,pretrain,0.0000,24.1432,7.4555,0.0266,-0.0788,0.000,0.0000,0.000,0.000
234.561,pretrain,0.0000,24.1576,7.4051,0.0266,-0.0788,0.000,0.0000,0.000,0.000
234.662,pretrain,0.0000,24.0581,7.4249,0.0267,-0.0788,0.000,0.0000,0.000,0.000
234.761,pretrain,0.0000,24.0464,7.4186,0.0267,-0.0788,0.000,0.0000,0.000,0.000
