t,phase,min_front,min_left,min_right,speed,yaw,dist_to_wp,bearing_to_wp,rc_throttle_norm,rc_yaw_norm
145.944,pretrain,50.0000,50.0000,50.0000,0.0280,-0.0083,0.000,0.0000,0.000,0.000
146.044,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0084,0.000,0.0000,0.000,0.000
146.144,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0084,0.000,0.0000,0.000,0.000
146.244,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0084,0.000,0.0000,0.000,0.000
146.344,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0085,0.000,0.0000,0.000,0.000
146.444,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0085,0.000,0.0000,0.000,0.000
146.544,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0086,0.000,0.0000,0.000,0.000
146.644,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0086,0.000,0.0000,0.000,0.000
146.744,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0086,0.000,0.0000,0.000,0.000
146.844,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0086,0.000,0.0000,0.000,0.000
146.944,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0086,0.000,0.0000,0.000,0.000
147.044,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0087,0.000,0.0000,0.000,0.000
147.144,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0087,0.000,0.0000,0.000,0.000
147.244,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0087,0.000,0.0000,0.000,0.000
147.346,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0088,0.000,0.0000,0.000,0.000
147.444,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0088,0.000,0.0000,0.000,0.000
147.544,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0088,0.000,0.0000,0.000,0.000
147.644,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0088,0.000,0.0000,0.000,0.000
147.744,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0088,0.000,0.0000,0.000,0.000
147.844,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0089,0.000,0.0000,0.000,0.000
147.944,pretrain,50.0000,50.0000,50.0000,0.0277,-0.0089,0.000,0.0000,0.000,0.000
148.044,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0090,0.000,0.0000,0.000,0.000
148.144,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0090,0.000,0.0000,0.000,0.000
148.244,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0090,0.000,0.0000,0.000,0.000
148.344,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0090,0.000,0.0000,0.000,0.000
148.444,pretrain,50.0000,50.0000,50.0000,0.0273,-0.0090,0.000,0.0000,0.000,0.000
148.544,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0091,0.000,0.0000,0.000,0.000
148.644,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0091,0.000,0.0000,0.000,0.000
148.744,pretrain,50.0000,50.0000,50.0000,0.0272,-0.0091,0.000,0.0000,0.000,0.000
148.844,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0092,0.000,0.0000,0.000,0.000
148.944,pretrain,50.0000,50.0000,50.0000,0.0274,-0.0092,0.000,0.0000,0.000,0.000
149.044,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0093,0.000,0.0000,0.000,0.000
149.144,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0093,0.000,0.0000,0.000,0.000
149.244,pretrain,50.0000,50.0000,50.0000,0.0271,-0.0093,0.000,0.0000,0.000,0.000
149.344,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0093,0.000,0.0000,0.000,0.000
149.444,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0093,0.000,0.0000,0.000,0.000
149.544,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0094,0.000,0.0000,0.000,0.000
149.644,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0094,0.000,0.0000,0.000,0.000
149.744,pretrain,50.0000,50.0000,50.0000,0.0269,-0.0094,0.000,0.0000,0.000,0.000
